Date,W/L,Race,Opponent,MMR,Map,Opponent's Strat,Mistakes/Improvement,Notes,Tags
1/28/18,L,Z,<SKCGT>Kolewasimadia,4513,Acid Plant,"""""","""""",,13/12
1/28/18,W,P(R),Nerdandertal,4623,Eastwatch,Adepts,Horrible build,Therapy,
1/28/18,L,Z,kangfrank,3975,Eastwatch,RoachBane,"No Macro, No Roach Warren, float 800min",,
1/28/18,W,P,players,4136,Backwater,Stargate (Void),"Hatch block, 2 gas, 3 ravager(4:30)",Therapy (inefficient),Therapy inefficient
1/28/18,W,P,<Cind3r>Ducati,4132,Acid Plant,Stargate (Oracle),"Hatch block, retook nat",Therapy (inefficient),Therapy HatchBlock
1/28/18,W,T,Stramtheman,4081,Eastwatch,"Float CC to gold, Cyclone Hellion push","Poor ravager control, supply block @66",,FloatCC HellionCyclone
1/28/18,W,Z,Kaabbom,4093,Blackpink,LingBane,"morphed banes late, too far forward, need better trades",Denied opponent's 3rd,LingBane
1/29/18,L,T,Fulminata,4520,Blackpink,,,,
1/29/18,L,P,TossAnatoR,4140,Blackpink,,,,
1/29/18,W,P,miketan,4366,Backwater,,,,
1/29/18,L,T,<M2A5>Kaiserator,4551,Acid Plant,,,,
1/29/18,L,P,Oblivion,4229,Eastwatch,,,,
1/29/18,L,T,<OIGE>MarineF,4526,Backwater,,,,
1/29/18,L,P,Alexzhanghc,4394,Eastwatch,,,,
1/29/18,W,Z,<MYDK>Sync,4173,Blackpink,,,,
1/29/18,W,T,<PINGON>billsh,4084,Blackpink,,,,
1/30/18,W,Z,<SHShod>DangerZone,4294,Acid Plant,LingBane,"No ling splits to deal with runbys, overcommitting to ling allins",,
1/30/18,W,T,<ValidG>IBGreedy,4270,Blackpink,211 -> BioTank Lib,"pull libs, spend money early! (floating 1k mins)",,
1/30/18,W,T,xuezong,4172,Acid Plant,Hellion -> BioTank,"Keep vipers with army, don't force engage into chokes w/ Ultra","Decent lingbane runbys, good early game",Hellion
1/30/18,W,P,<OIGE>FerLord,4636,Blackpink,"Adept, 2 Void, Shield Battery",Therapy,,
1/30/18,L,Z,Ballsavage,4220,Blackpink,HGP,"overcommitted to defense, not enough drones, then lost to larger roach army",,
1/30/18,W,T,dooffe,4255,Backwater,Hellion -> BioTank,Set up better for first tank push,,
1/30/18,W,P,jscabra,4318,Eastwatch,"Adept, Void Ray, Shield Battery",Focus Battery with lings? Hide roaches?,,Therapy
1/30/18,L,Z,<PigPan>,???,Blackpink,Roach/Hydra,Was ahead -> Base traded -> lost,Burrow roaches and hatch snipe helped restabilize,
1/30/18,L,Z,byeo,4147,Acid Plant,LingBane,Teched to +2 melee?!?!,I don't even know wtf this was,LingBane
1/30/18,L,P,shikadi,4440,Acid Plant,Adept sentry void ray shield battery,Roach rally?!?!?!,I don't even know wtf this was,Therapy
1/30/18,W,Z,JDF,4050,Acid Plant,LingBane,,He just had a really bad game :(,LingBane
1/31/18,W,P,<SICOS>Takeshi,4434,Acid Plant,"Stargate (Oracle), Adept",Morph closer ravager,,Therapy
1/31/18,W,P,Ronald,4273,Eastwatch,Cannon Rush -> Void Rays -> Carriers,"Built roaches after attack was thwarted, more drones on cannons",,"LingBaneAllin, CannonRush"
1/31/18,L,T,SirPlayALot,4660,Acid Plant,1 base BioTank,"Overdrone, engaged too soon",?,BioTank
1/31/18,L,Z,<OQDoor>RussellX,???,Acid Plant,Roach,"Lost early engagements, poor control",,RoachTransition
1/31/18,W,T,PureTearS,4372,Blackpink,4Hellion Raven -> BioTank,"Out of position for attack, build hydras immediately (esp. vs raven)",,Raven BioTank
1/31/18,L,T,Bebeway,4314,Acid Plant,WMDrop -> BioTank,"SB@66 Pushed banes into marauders/libs, attacked off creep",,WM
1/31/18,W,T,dewgong,4185,Eastwatch,Hellions -> BioTank,"Overlord positioning for drops, better focus-fire for ling runbys",,Hellion BioTank
1/31/18,W,P(R),<DRKFOX>Apothenes,4155,Backwater,Adept -> Oracle,"Rally lings, banes sooner",Poor build from opponent,
1/31/18,W,P,<J3SUS>RainHellFire,4266,Blackpink,Cannon Rush,Micro Ravagers better,No Shield Battery,CannonRush Therapy
1/31/18,W,P,<LIGHT>snowflaked,4378,Backwater,Proxy Gate,Start Spawning pool sooner,Placed right outside nat,ProxyGate
1/31/18,W,P,Omega,4285,Backwater,Stargate(Phoenix) Shield Battery,Target Adepts before stargate,,Therapy
2/1/18,L,Z,IIIIIIII,4458,Blackpink,,,Blackpink LE(123),
2/1/18,L,T,Goliath,???,Backwater,,,,
2/1/18,W,Z,bloodlust,4224,Acid Plant,,,,
2/1/18,L,P,<NwAs>shaka,4329,Blackpink,,,,
2/1/18,W,P,<Casual>KobyKat,4407,Backwater,,,,
2/1/18,L,Z,Shveck,4219,Eastwatch,,,,
2/1/18,L,Z,succme,4252,Blackpink,,,,
2/1/18,W,Z,<Random>wingsOfMutas,4313,Eastwatch,,,,
2/1/18,W,Z,<Random>wingsOfMutas,4313,Acid Plant,,,,
2/1/18,W,T,HandBanana,4329,Acid Plant,,,,
2/2/18,L,Z,Sly,4873,Blackpink,,,Blackpink LE(126),
2/2/18,W,P,Nujabes,4241,Acid Plant,,,,
2/2/18,L,T,<TnltB>Eriodin,4539,Backwater,,,,
2/2/18,W,P,<SICOS>Takeshi,4355,Backwater,,,,
2/2/18,L,T,<LAGOR>TheGladiator,4363,Blackpink,,,,
2/2/18,W,Z,Dev,4378,Blackpink,,,,
2/2/18,L,T,Kang,4489,Backwater,,,,
2/2/18,L,P,Cheesus,4526,Acid Plant,,,,
2/2/18,W,Z,<2p2>Snittzelov,4207,Backwater,,,,
2/2/18,L,T,<TLibre>Logan,4384,Blackpink,,,,
2/3/18,W,T,<IvyL>IIIIIIII,4373,Backwater,,,Eastwatch LE(29),
2/3/18,L,Z,<TeamUR>Sangchu,4331,Blackpink,,,,
2/3/18,W,T,<TOvP>LioMessi,4409,Backwater,,,,
2/3/18,L,T,<PsiX>SohN,4907,Acid Plant,,,,
2/3/18,L,T,Turtle,4366,Blackpink,,,,
2/3/18,W,T,Turtle,4388,Blackpink,,,,
2/3/18,W,Z,Queue,4211,Acid Plant,,,,
2/3/18,L,P,<srtgy>IIIIIIII,4386,Eastwatch,,,,
2/3/18,L,Z,FASTER,4410,Eastwatch,,,,
2/3/18,W,T,LittleBobby,4326,Acid Plant,,,,
2/4/18,L,Z,Meldo,4596,Acid Plant,,,,
2/4/18,L,Z,<|Next|>PoLLiRo,4349,Acid Plant,,,,
2/5/18,W,T,CorsairThor,4280,Backwater,,,,
2/5/18,L,T,<Ash3s>Skeetz,4144,Blackpink,,,,
2/5/18,L,T,<DRKESP>DrunkSCV,4342,Acid Plant,,,,
2/5/18,L,P,<SttE>syn,4430,Backwater,,,,
2/5/18,W,T,<zeez>grobnik,4287,Acid Plant,,,,
2/5/18,W,P,<LGST>IIIIIIII,4252,Eastwatch,,,,
2/5/18,W,T,<KawKaw>Gumbyy,4286,Acid Plant,,,,
2/5/18,L,Z,ADIBOU,4277,Backwater,,,,
2/5/18,L,T,PureTearS,4174,Blackpink,,,,
2/5/18,W,T,upaidtoomuch,4298,Blackpink,,,,
2/5/18,W,T,<PSISTC>Cerdoken,4519,Blackpink,,,,
2/5/18,L,T,<OIGE>ghost,4616,Acid Plant,,,,
2/6/18,W,T,<s1ar>Plopdude,4227,Acid Plant,Proxy 2gate -> bio,Didn't cancel hatch,Hard countered w/ 13/12,ProxyRax
2/6/18,W,P,<NewAIs>ANGELNEX,4303,Eastwatch,Twilight,,Therapy,Therapy
2/6/18,W,P,<fukPVP>TheMessiah,4139,Eastwatch,"Twilight, Cannon, Shield Battery",,No Wall from opponent,Therapy
2/6/18,L,Z,<Rival>MLT,4405,Backwater,15Hatch (took @14),,,
2/6/18,W,T,cristos,4182,Eastwatch,211 BioMine,Positioning of 211 attack,,BioMine 211
2/6/18,W,P,<vivi>vivi,4386,Acid Plant,Adepts,,,Therapy
2/6/18,L,T,<RZ7>Hammer,4691,Backwater,MarineHellbatTankThor,"1k min float, no Vipers, Poor initial split, no expansion outward",,
2/6/18,L,T,IIIIIIII,4712,Backwater,BioTank,"Poor control, out of position",,
2/6/18,W,P,<NewAIs>ANGELNEX,4196,Backwater,Adept,"Forgot speed, no queen",,15Hatch
2/6/18,L,T,ERRORNONAME,4249,Acid Plant,Mass Cyclone,Macro,,Mass Cyclone
2/6/18,L,Z,draakus`,4248,Eastwatch,RoachHydraLurker,"Poor Engagement, not enough vipers",,
2/6/18,L,T,Bob,4164,,1 base Mass Banshee -> Mass BC,Didn't tech for BC switch,,1base MassBanshee MassBC
2/6/18,L,T,IIIIIIII,4712,Blackpink,211,out of position for 211 Attack,,
2/6/18,W,P,<LGST>IIIIIIII,4255,Blackpink,,,,
2/8/18,W,P,Scott,4164,Eastwatch,1 base walloff -> expand,Therapy,,Therapy
2/8/18,L,Z,Tear,4700,Backwater,LingBane,Scouted 15Hatch,,15Hatch
2/8/18,W,Z,swooh,4247,Blackpink,LingBane,,"Built extra drones, decent ling bane control",LingBane
2/8/18,L,Z,OhNoes,4372,Catalyst,,,,
2/8/18,L,Z,monochrome,4205,Backwater,,,,
2/8/18,W,P,Jonathan,4295,Acid Plant,,,,
2/8/18,W,P,Najdorf,4113,Acid Plant,,,,
2/8/18,W,P,RabbitMeat,4345,Acid Plant,,,,
2/8/18,W,P,<NwAs>shaka,4194,Catalyst,ProxyDarkShrine,,,Therapy
2/8/18,W,P,IdrAge,4124,Blackpink,LeftGame,,,LeftGame
2/8/18,W,T,KyoRai,4595,Catalyst,MassMarine,Better Splitting vs marine pushes,,MassMarine
2/10/18,L,Z,Hiccup,4597,Backwater,RoachRavager,"Overdroned, Hydras too late?",,RoachRavager
2/10/18,L,T,<cLssuS>MoistKing,4435,Catalyst,Mech,"Poor Hellion Managment, Poor engage",,Mech
2/10/18,L,Z,Cenergy,4356,Blackpink,LingBane -> Roach,Walked across map w/roaches vs lings without bane support,,
2/10/18,L,T(R),Michael,???,,BioTank,No Bane Speed,,
2/10/18,L,T,<Ash3s>Skeetz,4318,Catalyst,Banshee Hellbat,"No Banes, Poor counterattack",,HellionBanshee
2/10/18,W,P,IIII,4232,Blackpink,"Void Ray, adept",,,Therapy
2/10/18,W,P,CONTATA,3739,Acid Plant,Shield Battery,"Poor target firing, allowed adepts in",,Therapy
2/10/18,W,P,<2Kim>Tezuka,4399,Catalyst,"Shield Battery, Void Ray",Keep roaches moving forward,Adepts shade into main,Therapy
2/11/18,W,Z,OptiMuS,4296,Acid Plant,Fast Gold,"don't push out w/out better ups than opponent, patience when economically ahead",Never took 3rd after gold destroyed,"LingBane, RoachRavager"
2/11/18,L,T(R),<LXG>twistedsteel,4349,Catalyst,Hellbat Marine push,"Didn't scout hellbats, not enough banes",,HellbatMarine
2/11/18,W,P,<LGST>IIIIIIIII,4176,Catalyst,Stargate,Build behind ling flood,,15Hatch
2/11/18,W,T,subreality,4277,Blackpink,HellionCyclone,"SB@82, move command during fight, not pulling  all libs",,Mech
2/11/18,L,Z,endorphin,4245,Acid Plant,LingBane,"Overdroned when ahead, poor trades",,LingBane
2/11/18,W,T,subreality,4277,Acid Plant,BioMine,"multiple supply blocks, no 3/3",,BioMine
2/11/18,W,Z,WesleyWNYC,4270,Catalyst,LingBane -> Muta -> Ultra,"Didn't spot muta switch, ultra switch",,MutaUltra
2/11/18,W,T,Poro,4319,Backwater,BioTank,"Lots of poor engagements -> not enough banes, no hydra speed",,BioTank
2/11/18,L,T,PoonGoon,4406,Backwater,Mech ThorLibTank,"Poor engagements, no infestors/neural?",,Mech ThorLibTank
2/11/18,L,Z,<DTokes>DigitalzEX,5017,Backwater,13/12,mismicro,,
2/11/18,L,T,scttooo,4285,Blackpink,BioMine,unhotkeyed attack group,,BioMine
2/11/18,W,Z,<xSPH3x>Alarak,4179,Backwater,,,Left game,LeftGame
2/11/18,L,T,Nerdandertal,4623,Backwater,MarauderTank,"No vipers, no surround",,MarauderTank
2/11/18,L,T,you,???,Backwater,Mass Cyclone,,,MassCyclone
2/11/18,L,P,Folonator,???,Catalyst,DT ShieldBattery SimCity,Scouted,,Therapy
2/11/18,L,P,<JaMiT>PetemyBaby,4319,Backwater,,,,
2/11/18,W,P,altair,4443,Backwater,,,,
2/11/18,L,Z,bigdog,4134,Blackpink,,,,
2/11/18,L,P,<FoTG>TAS,4158,Blackpink,,,,
2/11/18,L,P,Fusion,4278,Catalyst,,,,
2/11/18,W,T,<JAGeR>MotitaTheDog,4062,Catalyst,,,,
2/12/18,L,T,<OIGE>Demi,4677,Acid Plant,BioMine,"Didn't macro after attack, didnt split for drops",Broke base with late bane attack,BioMine
2/12/18,L,Z,Zombi,4284,Blackpink,RoachHydraLurker,Was never ahead - pushed too hard. Out of position with broods,Need more multitasking,Lurker
2/12/18,L,Z,PikieJr,4998,Blackpink,RoachRavager,"underdroned, supply blocks",,RoachRavager
2/12/18,W,T,JacobKipi,???,Catalyst,BioMine,"Not enough banes, lost scouting overlord","baneling backstabs worked, decent supply management",BioMine
2/12/18,W,T,<hTx>xyxer,4248,Catalyst,HellionCyclone,"Overlord placement outside creep, no macro during attack",Good ling counterattacks,HellionCyclone
2/13/18,W,Z,<N3RDST>Joe,4279,Acid Plant,LingBane Roach,"Overdroned, poor initial roach splits vs banes","Windows 10 Late start, good 3rd cancel",LingBane
2/13/18,L,P,<LGST>IIIIIIII,4240,Catalyst,Storm,"No damage with initial rush, not enough adept defense, didn't scout pylon",3rd denial,LingBane Allin
2/13/18,W,T,<SdwGmg>LILZergling,4105,Catayst,Mech HellionTankCyclone,"no runby spines, SB@140",Swarm Hosts tank for hydras,Mech
2/13/18,W,T,Drift,4147,Catalyst,Proxy4Rax,"Not enough counterattacking lings, lost overlords",3 spines out front immediately,ProxyRax Proxy4Rax
2/13/18,L,T,<DTokes>Benzene,4253,Blackpink,BioTank,"Pushing across map without creep, not droning hard enough",,BioTank
2/13/18,W,T,<xNtG>Aeon,4321,Blackpink,HellionCyclone,Didn't spot Hellbat Cyclone timing,Ling runby -> no cancel on 4th,HellionCyclone Mech
2/13/18,L,T,<PsiX>Dilligas,4551,Blackpink,HellionDrop Lib Mech,"Didn't micro correctly vs hellion drop, late hive",,
2/13/18,L,T,<GTnLB>AlexQueso,4244,Acid Plant,"Split Medivac Drops, BioTank","dealt with split drops poorly, no split for push against 4th",,BioTank
2/13/18,L,Z,<MSFT>Glarthur,4249,Acid Plant,RoachHydraLurker,"Indecision at beginning, pushed out with slow roaches",,RoachHydraLurker
2/13/18,W,Z,<VFam>YodaEater,4260,Blackpink,RoachRavager,,"Supply blocks, no baneling anchors",RoachRavager
2/14/18,W,P,jscabra,4337,Backwater,"Adept, Stargate","Didn't surround adept, SB before ravager",Zealot @ wall,Therapy
2/14/18,L,T,<UVa>Exia,4482,Backwater,Mech CycloneRush,"Swarm hosts too slow, not enough broods, poor engage",,Mech
2/14/18,L,Z,Blitz,4239,Catalyst,Roach,"No defensive roaches, overdroned after losing 3rd, fought in choke",,Roach
2/14/18,W,P,<PiGPan>sOs,4180,Blackpink,"ShieldBattery, Stargate, Zealot",late hatch,Artosis Pylon,Therapy
2/14/18,W,Z(R),<xCZx>NinjaDuckBob,4070,Catalyst,1 base 1/0 Roach Timing,Lings blocked by queens for initial attack,Nat denials,1BaseRoach
2/14/18,L,Z(R),FreeToPlay,4402,Blackpink,2BaseSpeedLing,Not enough Lings to defend,Overdefend if zerglings still streaming from Nat,
2/14/18,W,Z,ghOst,4075,Backwater,Ling -> Muta,,,Muta
2/15/18,L,Z(R),<GuN>Heliogabalus,4245,Backwater,13/12,"poor trades, no wall","was even, not behind. Opponent went 11/10",13/12
2/15/18,W,Z,PizzaLisK,4168,Acid Plant,PGH +1 melee,,Fast lair from opponent?,
2/15/18,L,Z,YongWon,4281,Catalyst,1/1 Roach Timing,"Overdroned, supply blocks",,1/1RoachTiming
2/15/18,L,P(R),<Emb3rs>Richard,4304,Blackpink,"Cannon Rush, ShieldBattery, VoidRay",,,"Cannon Rush, Therapy"
2/15/18,W,T,DrPoppler,4145,Acid Plant,Hellion -> BioTank,Late upgrades,lings + spore work as drop defense?,Hellion BioTank
2/15/18,L,P,Darko,4297,Blackpink,"Adept, Stargate","Poor targeting, lost lings vs probes attacking pylon",,
2/15/18,L,P,Najdorf,???,Backwater,,,,
2/15/18,W,Z,<BunnyB>Lexxii,4131,Blackpink,HGP LingBane,Protect 3rd hatch drone,,LingBane
2/15/18,W,T,Seigi,4400,Blackpink,Hellion -> BioMine,"Crashed banes into marauders, supply blocks, overlord spread past 3rd","Ling runbys, presplit attacks",Hellion BioMine
2/16/18,L,T,Aloera,4169,Backwater,Marine Hellbat Tank Lib,Supply blocked on pushout,Wasn't behind @ end,
2/16/18,W,P,<SGO>Remineva,???,Catalyst,"VoidRay, ShieldBattery, Adept",,Evo+LingDrop in main,Therapy
2/16/18,L,T,BruinDave,4242,Blackpink,Mech TankVikingThorHellbatCyclnoe,"Poor engages, not enough viper/broodlord",,Mech
2/16/18,W,P,Dubhghall,4105,Blackpink,Walled Main,,Morphed damaged roaches into ravagers,Therapy
2/16/18,W,Z,<Mines>MrSadPanda,4129,Backwater,???,Macro while Roach fighting,,
2/16/18,W,Z,<M1A5>Wavic,4140,Acid Plant,LingBaneRoach,Didn't attack while enemy was microing vs bane runby,"Strong runbys, good concaves and engagements",
2/16/18,W,Z,Chicane,4187,Acid Plant,LingBaneRoach,"Macro behind attacks, earlier defensive banes, don't forget runby group",Denied Third,LingBane
2/16/18,L,T,shimizu,4301,Acid Plant,HellbatBanshee,"banelings, more queens",,HellbatBanshee
2/16/18,L,Z,<Frnzy>Mongo,4229,Acid Plant,Roach Push,Late roach warren,Denied 3rd,RoachPush
2/16/18,W,Z,Jaystar,4652,Catalyst,13/12,Supply block@36,,
2/16/18,W,Z,<OPbois>GiantDwarf,4072,Blackpink,LingBane -> Roach,Scout moveout -> almost overdroned,"Earlier roach warren helped defend counterattack, good use of burrow",LingBane Roach
2/17/18,L,Z,Civil,4300,Catalyst,RoachHydra,"Engage up ramp, didn't have proper defense for counterattack",was ahead leading up to fight into choke,
2/17/18,W,T,<REXH>Travis,4294,Catalyst,"Mech - Heavy Thor, Tank","Late Infestor Neural, Need banes for hellbats","Good creep-leading overlords, good neural fight",Mech
2/17/18,L,P(R),<DuSt>LovE,4400,Acid Plant,,"Misplaced hatchery, probe block, built evo instead of spawning pool",,
2/17/18,W,T,<NYU>iMpulse,4343,Catalyst,BioTank,Control banes better in fights,"Good creep spread/vision, good vipers, good pullbacks from engages",BioTank
2/17/18,L,T,Shuke,???,Blackpink,HellbatBanshee -> BioTank,Late lair -> no detection,opponent on 50 SCVs,BioTank HellbatBanshee
2/17/18,W,Z,ZenTaiL,4277,Backwater,GPH Aggression,Ovie Speed,Late nat hatch from opponent,LingBane
2/17/18,W,Z,<cloudM>iMaGiNe,4552,Blackpink,HGP -> RoachRavagerHydra,"Engaging when behind in upgrades, need bane anchor, supply block from losing overlords",16v29 Roaches after killing 3rd -> opponent should have attacked,RoachRavagerHydra
2/17/18,W,P,Dodge,4262,Blackpink,Adept + Zealot Pressure,Don't lose lings on map,"Built Void, ShieldBattery",Therapy
2/17/18,W,Z,<FC>kale,4288,Backwater,13/12,rally lings,,13/12
2/17/18,W,Z,June,4358,Blackpink,LingBane HGP,,,
2/17/18,W,T,BrunoSt,4242,Acid Plant,BioTank,"Poor macro, low drone count, very late upgrades (never got 3/3)","Good Multiprong management, good surrounds",BioTank
2/17/18,L,Z,Silvafox,4335,Backwater,Lurker Turtle -> Broodlord Corrupter,"No Vipers to break lurker defense, poor multitask",,Lurker
2/17/18,W,P,<PSISTC>NaN,4396,Catalyst,"Adept, ShieldBattery, Void","morph too many roaches, no ravager",Good scout denial,Therapy
2/17/18,L,T,rattanchanh,4419,Blackpink,Marine push into mass marine,changed up build too much,,???
2/17/18,W,P,MrPro,4739,Acid Plant,"2 Adept push, ShieldBattery, Void",Lost lings to adepts,,Therapy
2/17/18,W,P(R),Berserker,4401,Backwater,Cannon Rush -> GaivedeptImmortalSentry push,Could have droned sooner? Forward Lurker morph,,
2/17/18,W,P,<LDCO>Ricolino,???,Backwater,Exposed Pylon,supply blocked ravager,,Therapy
2/17/18,W,P,kOrc,4254,Acid Plant,"SimCity, Void, ShieldBattery",Didn't drone hard enough after attack,Good hold by opponent,Therapy
2/17/18,W,T,<cLssuS>NorwegianTRN,4370,Blackpink,2Base 3Rax MarineMarauder push -> Bio,"Late Bane speed, late gases, not enough larva",Counterattacks delayed pushes from opponent,Bio
2/17/18,W,Z,shane,4431,Acid Plant,13/12 -> LingBaneRoach,"Built spores when slow lings were spotted, no +2 armor",Good pull back from poor engagement,13/12
2/18/18,W,Z,<ELeet>WillByers,4348,Acid Plant,1/0 Melee into delayed 3rd,"No walloffs/blocks for ling runbys, poorly positioned banes","No ranged ups for opponent, good pullbacks into chokes",1/0Lings
2/18/18,L,Z,<PsiXa>Jskippy,4456,Backwater,2BaseRoach Timing,Didn't scout lack of 3rd/roach warren,Steal this build?,RoachTiming
2/18/18,W,P,Hassan,4195,Catalyst,"2Cannons, exposed pylons, Stargate",Probe scouted Roach Warren,,Therapy
2/18/18,L,P,IAmTheShark,4402,Blackpink,Cannon Rush,Didn't target building pylon,,Therapy CannonRush
2/18/18,L,T,<IvyL>Guibazeon,4436,Catalyst,DoubleThorDrop,"No answer for thors, didn't respond to triple factory scout",,ThorDrop Hellbats
2/18/18,L,Z,DonaldTrump,4508,Backwater,13/12,No spine for banes,,13/12
